xcoord,ycoord,ID_GRID,L15_KOTLY,L15_PIECE,L15_KOMINK,L15_SUMA_P,L16_KOTLY,L16_PIECE,L16_KOMINK,L16_SUMA_P,L17_KOTLY,L17_PIECE,L17_KOMINK,L17_SUMA_P,INW_DWD
19.9484657961189,49.9774943161733,3885,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9498598009454,49.9775069436392,3886,5,0,1,6,3,0,1,4,3,0,1,4,2016-12-31
19.9512538067588,49.9775195543581,3887,1,0,0,1,0,0,0,0,0,0,0,0,2016-12-31
19.952647813558,49.9775321483299,3888,3,0,1,4,0,0,1,1,0,0,1,1,2016-12-31
19.9554163653703,49.9784562546939,3889,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9568104010836,49.9784687988215,3890,2,0,0,2,1,0,0,1,1,0,0,1,2016-12-31
19.9582044377775,49.9784813262015,3891,2,0,0,2,0,0,0,0,0,0,0,0,2016-12-31
19.9595984754505,49.9784938368338,3892,1,1,0,2,1,1,0,2,1,0,0,1,2017-07-31
19.9609925141014,49.9785063307183,3893,2,0,0,2,2,0,0,2,1,0,0,1,2017-04-30
19.962386553729,49.9785188078551,3894,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9637805943318,49.9785312682441,3895,2,0,0,2,1,0,0,1,1,0,0,1,2016-12-31
19.9651746359086,49.9785437118853,3896,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.9832972644431,49.9787039551571,3909,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.9846913195181,49.9787161643259,3910,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9860853755475,49.9787283567466,3911,3,0,1,4,3,0,1,4,3,0,1,4,2015-02-27
19.9874794325299,49.978740532419,3912,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9888734904639,49.9787526913431,3913,5,0,0,5,4,0,0,4,3,0,0,3,2017-04-30
19.9902675493484,49.9787648335189,3914,2,0,0,2,1,0,0,1,1,0,0,1,2016-12-31
19.9916616091821,49.9787769589464,3915,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.9930556699635,49.9787890676255,3916,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9944497316913,49.9788011595562,3917,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8717760664322,49.9776729598901,4140,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8731700409188,49.9776865088248,4141,2,0,1,3,2,0,1,3,2,0,1,3,2015-02-27
19.8745640164645,49.9777000410136,4142,1,0,2,3,0,0,1,1,0,0,1,1,2016-12-31
19.8759579930679,49.9777135564565,4143,2,0,1,3,2,0,1,3,2,0,1,3,2015-02-27
19.8773519707278,49.9777270551534,4144,3,0,2,5,3,0,2,5,3,0,2,5,2015-02-27
19.8787459494428,49.9777405371043,4145,0,0,1,1,0,0,1,1,0,0,1,1,2015-02-27
19.8801399292116,49.9777540023092,4146,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.881533910033,49.977767450768,4147,2,0,0,2,0,0,0,0,0,0,0,0,2016-12-31
19.8829278919055,49.9777808824807,4148,4,0,0,4,1,0,0,1,1,0,0,1,2016-12-31
19.8843218748279,49.9777942974474,4149,2,0,0,2,2,0,0,2,2,0,0,2,2015-02-27
19.9386880137679,49.9783044188543,4188,1,4,1,6,1,0,1,2,0,0,1,1,2017-04-30
19.9400820376128,49.9783171639518,4189,1,0,0,1,0,0,0,0,0,0,0,0,2016-12-31
19.941476062454,49.9783298923019,4190,1,0,0,1,1,0,0,1,0,0,0,0,2017-04-30
19.9442641151198,49.9783552987601,4192,5,0,0,5,5,0,0,5,4,0,0,4,2017-04-30
19.9456581429418,49.9783679768681,4193,2,0,1,3,1,0,1,2,1,0,0,1,2017-04-30
19.9470521717548,49.9783806382286,4194,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9484462015575,49.9783932828417,4195,2,0,0,2,1,0,0,1,1,0,0,1,2016-12-31
19.9498402323485,49.9784059107072,4196,0,0,1,1,0,0,1,1,0,0,1,1,2015-02-27
19.9512342641267,49.9784185218252,4197,2,0,0,2,2,0,0,2,2,0,0,2,2015-02-27
19.9526282968905,49.9784311161957,4198,5,0,0,5,1,0,0,1,1,0,0,1,2016-12-31
19.9540223306389,49.9784436938186,4199,1,0,0,1,0,0,0,0,0,0,0,0,2016-12-31
19.9312797204868,49.9980175655301,4455,1,0,0,1,1,0,0,1,0,0,0,0,2017-04-30
19.9326743108663,49.9980304033006,4456,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.9354634946368,49.9980560285652,4458,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.936858088025,49.9980688160591,4459,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9382526824136,49.9980815867941,4460,0,1,0,1,0,1,0,1,0,1,0,1,2015-02-27
19.9396472778011,49.9980943407701,4461,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9438310699445,49.9981325021441,4464,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9452256693148,49.998145189084,4465,1,1,0,2,1,1,0,2,1,1,0,2,2015-02-27
19.9466202696776,49.9981578592648,4466,1,0,1,2,1,0,1,2,0,0,0,0,2017-04-30
19.9521986810267,49.9982083723963,4470,1,0,1,2,0,0,1,1,0,0,1,1,2016-12-31
19.953593286332,49.9982209587811,4471,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9549878926217,49.9982335284067,4472,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9563824998948,49.998246081273,4473,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.9577771081498,49.9982586173799,4474,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.9605663276003,49.9982836393156,4476,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9619609387932,49.9982961251443,4477,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9633555509628,49.9983085942136,4478,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9647501641078,49.9983210465235,4479,2,0,0,2,2,0,0,2,1,0,0,1,2017-04-30
19.9661447782269,49.9983334820738,4480,0,0,1,1,0,0,1,1,0,0,1,1,2015-02-27
19.9675393933187,49.9983459008646,4481,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9800909727031,49.9984569157982,4490,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9828802231561,49.9984814014263,4492,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
